[16:09:58] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[16:09:58] [INIT] Loaded plugins:
[16:09:58] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[16:09:58] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[16:09:58] [INIT] - com.almostreliable.lootjs.kube.LootJSPlugin
[16:09:59] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_condition.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb.js in 0.005 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/transform.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/store_armor.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/stat_ability.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/spawn_particles_block.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/sounds.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/slot_transform.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/screen_shake.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/rolling_mechanics.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/recharge.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change_wheel_condition.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/quick_change.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/pyro_surf.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/projectile.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/predator_vision.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/playlist_cycle.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ore_detect.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_timer.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle_animation.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omnitrix_cycle.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/omni_properties.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_water.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_to_entity.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion_dash.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/motion.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/items.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/is_alien.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/invulnerable.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/infinity.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ice_layer.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/hunger_fix.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/ground_slam.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/grapple.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/goo_fire.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/glow_crystals.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/glide.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/galvan_blueprints.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/freeze_immunity.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/flatten.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/fire_immunity.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/fire_absorb.js in 0.005 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/explosion.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/entity_damage.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/draganoid.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/directional_damage.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/diamond_creation.js in 0.005 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/detransform.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/decouple.js in 0.007 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/damage_effect.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/cycle_sounds.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/current_alien_nickname_condition.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/crystal_pillar.js in 0.007 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/core_removal.js in 0.005 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/color_modules.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/codes.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/charge_leap.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/bounce.js in 0.001 s
[16:10:00] [INFO] addonpack_alienevo:kubejs_scripts/blocks.js#1: Loaded Java class 'net.minecraft.nbt.CompoundTag'
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/blocks.js in 0.006 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/block_wave.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/behind.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/astro_powers.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alienevo_watch_condition.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alienevo_color_condition.js in 0.0 s
[16:10:00] [INFO] addonpack_alienevo:kubejs_scripts/alien_codex.js#1: Loaded Java class 'net.minecraft.network.chat.Component'
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alien_codex.js in 0.01 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alien_codex.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/sounds.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/alien_codex.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_simians_pack:kubejs_scripts/roar.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_simians_pack:kubejs_scripts/electro_leap.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_simians_pack:kubejs_scripts/alien_codex.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_galvan:kubejs_scripts/upgrade_template.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_galvan:kubejs_scripts/is_falling.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_galvan:kubejs_scripts/held_item.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_galvan:kubejs_scripts/anvil.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack_bug:kubejs_scripts/sounds.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack_bug:kubejs_scripts/buggy_decouple.js in 0.009 s
[16:10:00] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/tele_valchange.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/teleport.js in 0.0 s
[16:10:00] [INFO] addonpack_mypowers:kubejs_scripts/telekinesis.js#1: Loaded Java class 'net.minecraft.Util'
[16:10:00] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/telekinesis.js in 0.007 s
[16:10:00] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/spike.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/nullvoid_soil.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_mypowers:kubejs_scripts/alien_codex.js in 0.001 s
[16:10:00] [INFO] Loaded 147/147 KubeJS startup scripts in 0.976 s with 0 errors and 0 warnings
[16:10:00] [INFO] addonpack_alienevo:kubejs_scripts/motion_to_entity.js#6: Loaded Java class 'net.minecraft.world.phys.HitResult'
[16:10:00] [INFO] addonpack_alienevo:kubejs_scripts/motion_to_entity.js#7: Loaded Java class 'net.minecraft.world.entity.decoration.ArmorStand'
[16:10:00] [INFO] addonpack_alienevo:kubejs_scripts/motion_to_entity.js#8: Loaded Java class 'net.minecraft.world.entity.boss.enderdragon.EndCrystal'
[16:10:21] [INFO] addonpack_aeo:kubejs_scripts/core_functions.js#16: Core functions exported to global!
[16:10:21] [INFO] addonpack_alienevo:kubejs_scripts/glow_crystals.js#3: Loaded Java class 'dev.latvian.mods.kubejs.item.custom.BasicItemJS$Builder'
